team,season,xg_mean,xg_std,xg_against_mean,xg_against_std,xg_diff_mean,goals_mean,goals_against_mean,goals_diff_mean,win_rate,draw_rate,loss_rate,total_matches,home_win_rate,away_win_rate,recent_xg_mean,recent_xg_against_mean,recent_goals_mean,recent_win_rate,recent_draw_rate,recent_loss_rate,recent_points
Sevilla,2021,1.2329859210526315,0.7627583022828923,1.0683342736842105,0.7249179438285098,0.1646516473684211,1.394736842105263,0.7894736842105263,0.6052631578947368,0.47368421052631576,0.42105263157894735,0.10526315789473684,38,0.631578947368421,0.3157894736842105,1.1437808,1.1066862,0.8,0.2,0.8,0.0,7
Valencia,2021,1.1127587631578948,0.5998251456892288,1.374639289473684,0.9171243714713384,-0.2618805263157894,1.263157894736842,1.394736842105263,-0.13157894736842105,0.2894736842105263,0.39473684210526316,0.3157894736842105,38,0.3157894736842105,0.2631578947368421,1.1378202,1.4184359999999998,0.8,0.2,0.6,0.2,6
Villarreal,2021,1.8508495526315791,1.277104915441503,1.260333763157895,0.7690289807066962,0.5905157894736842,1.6578947368421053,0.9736842105263158,0.6842105263157895,0.42105263157894735,0.2894736842105263,0.2894736842105263,38,0.5263157894736842,0.3157894736842105,1.691088,1.617641,2.0,0.4,0.2,0.4,7
Athletic Club,2021,1.5003656315789473,0.9272708442494879,1.0339436842105265,0.703568567299173,0.466421947368421,1.131578947368421,0.9473684210526315,0.18421052631578946,0.3684210526315789,0.34210526315789475,0.2894736842105263,38,0.5263157894736842,0.21052631578947367,1.0226718,0.7653836,0.8,0.4,0.2,0.4,7
Real Sociedad,2021,1.4759305789473685,0.774752997239648,1.0924479999999996,0.8263301594618644,0.3834825789473685,1.0526315789473684,0.9736842105263158,0.07894736842105263,0.4473684210526316,0.2894736842105263,0.2631578947368421,38,0.5263157894736842,0.3684210526315789,2.15675,1.1387528000000002,1.6,0.4,0.2,0.4,7
Real Betis,2021,1.4711517631578948,0.9176063205530398,1.2312816052631579,0.5974459551705952,0.2398701578947369,1.631578947368421,1.0526315789473684,0.5789473684210527,0.5,0.21052631578947367,0.2894736842105263,38,0.5263157894736842,0.47368421052631576,1.2143126,1.2277993999999999,1.2,0.4,0.4,0.2,8
Getafe,2021,0.8303717368421053,0.47605786460764804,1.1708391315789475,0.8597237934233131,-0.3404673947368421,0.868421052631579,1.0789473684210527,-0.21052631578947367,0.21052631578947367,0.39473684210526316,0.39473684210526316,38,0.3684210526315789,0.05263157894736842,0.6739582000000001,1.0231625999999998,0.4,0.0,0.8,0.2,4
Celta Vigo,2021,1.182571447368421,0.6543392572877846,1.2136081842105262,0.7248522436842187,-0.031036736842105294,1.131578947368421,1.131578947368421,0.0,0.3157894736842105,0.2631578947368421,0.42105263157894735,38,0.3684210526315789,0.2631578947368421,1.6236974,0.8587743999999999,1.4,0.4,0.2,0.4,7
Osasuna,2021,1.1059709473684207,0.804364319604801,1.3313650526315788,1.1328143796568801,-0.22539410526315784,0.9736842105263158,1.3421052631578947,-0.3684210526315789,0.3157894736842105,0.2894736842105263,0.39473684210526316,38,0.2631578947368421,0.3684210526315789,0.8997102,0.9349408,0.6,0.0,0.6,0.4,3
Barcelona,2022,2.1787600000000005,1.174929990360806,0.8773652894736843,0.6615214544061949,1.3013947105263155,1.8421052631578947,0.5263157894736842,1.3157894736842106,0.7368421052631579,0.10526315789473684,0.15789473684210525,38,0.7894736842105263,0.6842105263157895,2.608942,1.6853231999999998,2.0,0.4,0.0,0.6,6
Real Madrid,2022,2.089320710526316,1.003672943086108,1.037993052631579,0.6516658929209274,1.0513276578947368,1.9736842105263157,0.9473684210526315,1.0263157894736843,0.631578947368421,0.15789473684210525,0.21052631578947367,38,0.6842105263157895,0.5789473684210527,1.4337992000000002,1.1368000000000003,1.2,0.6,0.2,0.2,10
Atletico Madrid,2022,1.807428473684211,0.9371659781752509,1.1366644921052629,0.6551808493384941,0.6707639815789475,1.8421052631578947,0.868421052631579,0.9736842105263158,0.6052631578947368,0.21052631578947367,0.18421052631578946,38,0.6842105263157895,0.5263157894736842,1.6556698,1.8086178,2.0,0.4,0.4,0.2,8
Sevilla,2022,1.3341074710526317,0.8641256565689247,1.5260046657894737,0.9847282998273789,-0.19189719473684205,1.236842105263158,1.4210526315789473,-0.18421052631578946,0.34210526315789475,0.2631578947368421,0.39473684210526316,38,0.3684210526315789,0.3157894736842105,1.3816031999999998,1.3319300000000003,1.2,0.2,0.4,0.4,5
Valencia,2022,1.4115908947368419,0.7992315117789894,1.3778830789473684,0.7763402649398559,0.03370781578947368,1.105263157894737,1.1842105263157894,-0.07894736842105263,0.2894736842105263,0.23684210526315788,0.47368421052631576,38,0.42105263157894735,0.15789473684210525,1.7618618000000001,1.260383,1.2,0.4,0.4,0.2,8
Villarreal,2022,1.7253434210526317,1.0274696939818824,1.3525254736842107,0.8175790584177014,0.372817947368421,1.5526315789473684,1.0526315789473684,0.5,0.5,0.18421052631578946,0.3157894736842105,38,0.631578947368421,0.3684210526315789,2.0938822,1.5123600000000001,2.4,0.6,0.2,0.2,10
Athletic Club,2022,1.479449657894737,0.8498829569538122,0.9865658947368422,0.5932969197463688,0.4928837631578949,1.236842105263158,1.131578947368421,0.10526315789473684,0.3684210526315789,0.23684210526315788,0.39473684210526316,38,0.42105263157894735,0.3157894736842105,1.698381,1.3548184,0.8,0.2,0.2,0.6,4
Real Sociedad,2022,1.6464854210526316,0.6928728374930394,0.9355573421052629,0.613737785652934,0.7109280789473683,1.3421052631578947,0.9210526315789473,0.42105263157894735,0.5526315789473685,0.21052631578947367,0.23684210526315788,38,0.5789473684210527,0.5263157894736842,2.2151828,0.9380257799999999,1.6,0.6,0.2,0.2,10
