match_id,estilo_tactico,static_density,static_avg_clustering,static_avg_betweenness,static_avg_pagerank,static_avg_closeness,total_passes,pass_accuracy,resultado,goles_equipo,goles_rival,xg_equipo,xg_rival,contexto,rival
16079,posesion_alta,0.7307692307692307,0.167095033483111,0.077020202020202,0.0769230769230769,0.3210253615241534,698,0.9240687679083096,victoria,2,0,1.0838477350000002,0.8975263569999998,local,Villarreal
16149,posesion_moderada,0.6703296703296703,0.1740963971361268,0.0944793301936159,0.0714285714285714,0.3745932887555167,635,0.9181102362204724,victoria,2,0,1.906738469,1.212639442,visitante,Girona
16275,posesion_alta,0.7527472527472527,0.1702629891277502,0.082811137275423,0.0714285714285714,0.3928851585795797,790,0.910126582278481,victoria,2,0,2.265581007,0.413620188,visitante,Deportivo Alavés
15973,posesion_alta,0.7692307692307693,0.1365926053214987,0.0658043345543345,0.0714285714285714,0.4446731385538444,673,0.9450222882615156,victoria,8,2,4.513569743,1.264742864,local,Huesca
16317,posesion_moderada,0.7142857142857143,0.1639539421573967,0.0945894383394383,0.0714285714285714,0.3873339407380166,638,0.8887147335423198,empate,2,2,0.7572143847999999,1.477804292,visitante,Eibar
16131,equilibrado,0.6703296703296703,0.1537534140651953,0.0870115995115995,0.0714285714285714,0.3766714297209405,630,0.8746031746031746,victoria,3,0,1.16775373,0.965347184,local,Eibar
16205,posesion_alta,0.7417582417582418,0.162685371562175,0.0867445054945054,0.0714285714285714,0.3832210592418348,730,0.9,victoria,3,1,2.619028352,0.3626478485,local,Rayo Vallecano
16095,posesion_moderada,0.6703296703296703,0.1697168783388964,0.0773962148962148,0.0714285714285714,0.357899421640576,498,0.9879518072289156,victoria,5,0,2.9769174072,1.164957094,visitante,Levante UD
16306,posesion_alta,0.7362637362637363,0.1379075826712172,0.0674832112332112,0.0714285714285714,0.2824936417735885,899,0.9221357063403782,victoria,2,0,2.040483553,0.999546532,local,Getafe
16010,posesion_moderada,0.7582417582417582,0.1796671481749322,0.0746642246642246,0.0714285714285714,0.4094545635131085,657,0.893455098934551,empate,1,1,2.7532440959999995,0.4852281499999999,local,Athletic Club
15986,posesion_alta,0.7032967032967034,0.1359701662447999,0.0797542735042734,0.0714285714285714,0.3509952051348464,731,0.9521203830369356,empate,2,2,1.502485224,1.069202315,local,Girona
16240,posesion_alta,0.7307692307692307,0.1450112195880897,0.0820054945054945,0.0714285714285714,0.3274256139012672,705,0.902127659574468,empate,4,4,2.295202509,2.572822366,visitante,Villarreal
16023,posesion_alta,0.717948717948718,0.1402136426603345,0.1043042605542605,0.0769230769230769,0.3268786861985881,969,0.9649122807017544,empate,1,1,0.3969471124999999,1.376319467,visitante,Valencia
16196,equilibrado,0.6538461538461539,0.1755169642831041,0.0769917582417582,0.0714285714285714,0.3465959281761205,531,0.864406779661017,victoria,1,0,1.2611960085,1.0888610150000002,visitante,Real Madrid
15956,equilibrado,0.5879120879120879,0.1064155658372982,0.0897435897435897,0.0714285714285714,0.3433267902005092,557,0.9425493716337524,victoria,1,0,0.7582223709999999,0.33820088,visitante,Real Valladolid
16231,posesion_alta,0.7252747252747253,0.1330590218623741,0.0833028083028083,0.0714285714285714,0.3644868576835841,719,0.8734353268428373,victoria,2,0,1.059880911,0.179885682,local,Espanyol
